"title","comment","trip","writer","written","rating"
"A must go","This museum is a staple of London and you can see the great effort of people htat work there to create a welcoming enviroment. Visit to your hearts content","June 2019","Gyros Papas","Jul 2019",5
"Fantastic museum","The museum is a must see. There are thousands (literally) of things to see from all over the world in one building. I arrived mid day and it was already quite crowded. It might be better to arrive right when it opens. Bring water to drink and a snack depending on how long you…","July 2019","westcoast778","Jul 2019",5
"Lots of vairety","I really like how many different things you can see in this collection of different periods. I have been there several times and I differently would recommend others to visit but my only complain would be that toilets are always smelly and not that clean.","December 2018","MM_Andarta","Jul 2019",4
"A memorable experience for a boys first visit to London!","We took our son on his first international trip to London this year and the British Museum was first on our list. It was a unforgettable experience for all of us and especially for a little boy who had been looking forward to seeing their mummy collection since he discovered how…","June 2019","MrsHardin","Jul 2019",5
"OK if you are into ancient artifacts","a bit overboard on Egyptian artifacts, but lots to see, and it is free so that is a plus, wait not too long on a weekday","June 2019","tymelyron","Jul 2019",3
"Wonderful museum","I loved visiting The British Museum.  There are so many wonderful things to see and experience.  I paid to visit the special Edvard Munch exhibit, and it was well worth it.  I only wish I had spent more time here.","July 2019","adamgbass12","Jul 2019",5
"As good as a museum can get","Certainly THE museum in London. Check out the exhibitions by the Print&Drawing room on the top floor. A true hidden gem!","July 2019","sur_realismo","Jul 2019",5
"Amazing museum with a myriad of exhibits","The museum is huge, so plan on spending an hour and a half at the very least. The mummies are not ideal for squeamish individuals.","July 2019","Amelia Bedelia","Jul 2019",5
"Could spend a day","Great museum with something for everyone. Go early it gets crowded. Bring the family. Everyone will find an exhibit of interest.","July 2019","Laura B","Jul 2019",5
"Really nice meal in the museum restaurant.","Top quality beetroot and monkfish risotto. Love the big glass ceiling. Blew my mind to find out that each piece of glass is individual. No two are the same!","August 2018","JimmyChiba","Jul 2019",4
"Fast fee and easy to see.  Daughter loved Rosetta Stone","We arrived at 10:15 on a weekday at the Montague entrance. Waited about 15 minutes behind a couple of groups - moved fast. Great to arrive at that hour - grade straight tonRosetta Stone.  Museum Map is great in pointing out “must sees” if you have 1 hr or 2 hrs. ","July 2019","EllyTexas","Jul 2019",4
"Interesting","Loved it. Not completely organized as one would expect (sometimes just a little confusing). Tons of people checking out the Egypt colletion, other parts not so crowded. Beutiful museum, I just wish people took a little more time watching the exibition, reading about it and not…","May 2019","Andrea :)"," :eview Jul 2019",4
"Amazing and Free","We were told not to my the British Museum during our first trip to London and it was great advice.  The place is huge and I could easily spend several days in here.  The Lobby is breathtaking.  We had three kids of different ages and each one of them got to do an activity which…","May 2019","yk33175","Jul 2019",5
"Very good","This place is very interesting, however on our visit i think every school in the local area visited too! The exhibits are very good, definitely worth a visit!","July 2019","chunkyweemidgie","Jul 2019",5
"Fantastic Museum","From start to finish, an excellent museum to see!  Entrance is free and there are programs you can donate a couple pounds to have.  I found the programs super helpful - there are suggestions of the top highlights to see which guided me and I was able to see them all!  The map is…","May 2019","julials2017","Jul 2019",5
"Fabulous!","The British museum is free to the public and just filled with amazing artifacts from all over the world. To properly see everything housed within this museum, you really need to take multiple trips. The docents, who worked there, were friendly, helpful, and happy to answer any…","July 2019","SassySPencer","Jul 2019",5
"Must Do!!!!!!","It is hard to comprehend the immense and amazing collection of artifacts stored within this building --- Rosetta Stone, Mummies, Roman Army, Easter Island --- it is unbelievable.  Plus --- IT IS FREE!!! If you go to London, you have to go. ","July 2019","Nerfhammer","Jul 2019",5
"Worth a visit","Went to see exhibition but ended up staying longer! Had fabulous time could have spent all day. Facilities very good as well despite it being a busy day.","July 2019","beany68","Jul 2019",5
"An Excellent Musuem","The things you can view in the British Museum are unbelievable and they have spaced them nicely so you can go around them in many directions instead of just past a perimeter.  The museum welcomes many people and it didn't seem too crowded when we went.  You must come through…","July 2019","Kbontempo","Jul 2019",5
"One of the Worlds best museums","One of the Worlds best museums, a must see location, fantastic content through multi-periods, very busy in high season.","February 2019","london1815","Jul 2019",5
"If you like architecture or odd collections of things or the Rosetta Stone - then try the British Museum.","The inside ceiling is beautiful.  The middle round building was dedicated to the Queen.  The Egyptian collection is really nice and large.  We really enjoyed seeing the Rosetta Stone, but close and personal.  The store is very good and has a great range of items for everyone to…","June 2019","sandramerwin","Jul 2019",4
"Excellent Exhibits!","Their usual exhibits, esp on Egypt are superb!  We were very lucky to be in London for the Edvard Munch exhibit - very well done!","July 2019","Lorrie R","Jul 2019",5
"British Museum ","Friendly staff. So many different collections that are worth visiting. The standard collection is free to visit. ","July 2019","Kelly","Jul 2019",4
"Audio tour annoying","I took the audio tour provided at the Audio Tour desk in the museum. The queue was very long, and got longer behind me, with only one person to handle it. Some of the exibits on the tour were not in the place described by the narrator, and the guidance  was not accurate. In the…","July 2019","Eli A","Jul 2019",3
"Great museum, wonderful artifacts","We visited in March. Entry to the British Museum is free, though they will accept donations. When we arrived, the line was long to enter, but after someone incorrectly directed us to a second side entry that was not open, the staff at the entrance more than made up for it by…","March 2019","Robert M","Jul 2019",5
"A taste of London","Most museums on London are free. There is do much to see and do there. We only has an afternoon for a taste. It was fantastic. Next time we are over we will do another section. Easy to get around it. Well signed. Great food spots. Easy to get to from public transportation.","June 2019","Annieworks","Jul 2019",5
"British Museum","Absolutely loved it! So much to see and do! Could spend a few days there!!! Several floors divided by time period and genre. Definitely recommend for the family. Something for everyone","August 2018","Kendragirl","Jul 2019",5
"Incredible Displays","There is far too much to see in one day.  To view everything would probably take at least 3 days.  Check their web site before you go to see what's on display and then prioritize the area(s) that you are most interested in.  It's well worth spending a day there and is something…","June 2019","Bethany M","Jul 2019",5
"Greatest Museum!!","You will need lots of time to view it all, book more than one day if you like history, 03 at least :)","April 2019","Dani K","Jul 2019",5
"Overwhelming ","You need several visits to even scratch the surface. The finest collection of antiquity we’ve ever seen. ","July 2019","lulugrey","Jul 2019",5
"Origin of London City","To see London built originally up  from flat land and learn that the city of England would have been based further north then the reasons why the City Capital is where it is today is an education. One of the best Museums. One entrance you see the Lord Majors Coach, you will not…","September 2018","Pam Tw4","Jul 2019",5
"One of the best but most crowded","I really appreciate the fact without paying you can enter the museum to see most of the exhibition, however, having too many visitors in the museum kind of made the experience less good. A stunning collection of Asian treasures.","July 2019","Wenyu","Jul 2019",4
"Well Worth a Visit","If you're travelling to London, you can't miss this place. Really great exhibitions and a whole lot to learn. The architecture is incredible too!","December 2018","James Clarke","Jul 2019",5
"A must see","Marvellous building and marvellous exhibits.Well worth going to however short you London visit.Lovely part of London.","July 2019","John C","Jul 2019",5
"Can't Miss","When in London, don't forget to visit the British Museum. I had fun touring the place when I was on holiday there .It's free and they have a huge collection of permanent artworks so you can take selfies alongside them if you like. I was there before lunchtime and there's not a…","March 2019","Alan Scott","Jul 2019",5
"The British Museum is great but not in all in one go","Like many Londoners,  I have dragged my children or rather been dragged by them around most of London's museums. Especially this one, the grandest of them all. And it's a bloody marathon. I learned long ago to decide in advance what to see and get in and get out without being…","July 2019","James L","Jul 2019",5
"IMPRESSIVE","An incredible fascinating collection of famous archaeological artifacts from around the world in an impressive setting with no fees!","May 2019","Steve","Jul 2019",5
"Very rice history ","As expected it is a place to learn about all the world history and civilisations.  You cannot cover it fully in one visit .. so bug and have hundreds of items.   Free to access which was great thing. Some items and it's descriptions were hard to match. ","July 2019","Ebrahim <U+064E>Abdi","Jul 2019",4
"Amazing Museum","I only had time on my recent trip for 1 museum.  In London that felt like such a hard decision.  I decided to visit the British Museum and was not disappointed.  It was amazing!  I arrived with only 2 hours before closing so limited my sightseeing to Egyptian, Middle East &…","June 2019","Kimberw85","Jul 2019",5
"Greek Artifacts Galore","My son could have spent all day just looking at the Greek Artifacts.  He loved the Greek carvings of the parthenon.  I could have spent an equal amount of time in the European sections.  You can not do this museum justice in one day.  Plan your visit to cover several days.","July 2019","FarAway567593","Jul 2019",5
"Wonderful Museum!","The British Museum has more than you can see in a day, including amazing artifacts from Greece and Egypt, and I especially appreciated the early Britain exhibit with items from Sutton Hoo and Roman times.  Plus, they have mummies for the kids, great art, and much more.  ","July 2019","willtx","Jul 2019",5
"FOR FREE","One of the best Museums and for free! They have ""stolen"" everything from the World, but worth the visit to know the history of the world!","April 2019","oliverkiles","Jul 2019",5
"A very good place to visit","We went on a Sunday but it was very busy with lots of tourists.  Sections arranged by countries and continents.  It covers prehistoric times to recent past.  So many galleries to see and one can not do it justice in a single day. Food served in the restaurant is bit more…","July 2019","1sjoe","Jul 2019",5
"One of the world's most famous Museum.","My friends and I went to The British Museum last May 23, 2019. Visiting this Museum is a must experience in London. We went early in the morning and no there's no line to enter.Our goal was to see the collection of Egypt, because The British Museum houses the world's largest and…","May 2019","Aury De Jesus","Jul 2019",5
" A very good  experience "," We went to this museum  to look at the history for fun.  We were desperate to see Mummy  because  it was shown on the films. We also like the section on Greece because  of the story of Tory.  The section of China was a little bit boring. The area on the section of Solomon …","July 2019","davidlamtraveller","Jul 2019",5
"Ye olde mummies of London","We felt that we had to come to the British Museum when in London. The map has a very handy key code of ""items not to miss"". This really helped us as it is so big we wouldn't have been able to bring the kids to each exhibit. There are some really fascinating exhibits here -…","July 2019","Michael R","Jul 2019",4
"Plan your trip.","When planning on going to the museum, be sure to give yourself enough time, there are 1000's upon 1000's of items to look at and there are thousands of people trying to look at them the same time you are. In our 4 hours there we saw a fraction of a fraction of the items; i.e.…","July 2019","Scott M","Jul 2019",4
"Seek out the less popular treasures!","Its been 35 years since my last visit, which was also in the summer. Then, it was peaceful and supportive of contemplation. Today's crowds are overwhelming, and I was knocked in the head with a backpack 5 times. Couldn't view the large, well known pieces as there were too many…","July 2019","Kathleen K","Jul 2019",4
"Great history but...","No public water fountains inside.  Was advise to refill at the tap in the loo which was hot water. Given how green most of the UK is I was genuinely surprised to not have this option.","July 2019","Lunadore","Jul 2019",5
"Historical Artifacts Galore","If you like history, this museum has amazing artifacts from many civilizations and eras.  It’s free!  Definitely purchase a map and hit the highlights if you are in London.  You cannot go through it all in one day - information overload.  It is an amazing museum!","July 2019","4fairreview","Jul 2019",5
"give yourself plenty of time","A fantastic experience and one I'd do again. Quite simply too much to see in one trip. If you are interested in history it's essential. I brought my son and expected him to be bored but he loved it too. My wife was also staggered by teh scale and ambition of the presentations…","August 2018","Sean M","Jul 2019",5
"Interesting","Interesting exhibits at this big, busy museum. We got there for opening time and the crowds were already there so I think it’s busy all day every day.","July 2019","123cdon","Jul 2019",4
"Don't miss the treasures!","This museum is world class and you could spend days here!  We spent the afternoon viewing the history of clocks/watches and then the Greek/Roman history area.  Could have a few more benches for tired feet!","June 2019","edmondite","Jul 2019",5
"A World History Class in 1 Day!","Start your day early as it is easy to become overwhelmed with the 8 million amazing items in this museum! You get an overview of the history of mankind's' development from ancient times to just a hundred years ago. The nice thing is you can dip in for highlights and see things…","June 2019","Concierge","Jul 2019",5
"Must go","This is an incredible museum with so much to see.  We love reading about each thing.  You can spend a long day here.  It is worth taking the time.","June 2019","Hansen5","Jul 2019",5
"Fantastic free experience","We had only 2 days to explore London so we didn't fully explore this museum but WOW - so much to see! Seeing the Rosetta Stone was on my bucket list and the Egyptian pieces were jaw dropping as well. I could have easily used 2-3 days here to really see everything and have time…","July 2019","Moe C","Jul 2019",5
"Fascinating","A London favorite. Lots of things to see and learn about. Greek and Egyptian rooms are always crowded, but the UK and European history rooms are also fascinating. ","July 2019","rn508","Jul 2019",5
"Munch exhibition (temp exhib until 21 July 2019)","There is no doubt Edvard Munch is a master printer and experimented with a series of printing techniques, and in many senses was ahead of many of his contemporaries in terms of printing techniques. Like Bonnard (exhibition in the Tate earlier this year) his art tends to be…","July 2019","PajaritoLondon","Jul 2019",5
"Manga exhibition ","We visited (myself, younger sister, and my mum) the museum and spent almost the whole day there. The food is very pricey so I would suggest buying your own from somewhere outside rather than eating there. The manga exhibition was brilliant and the whole museum itself is just…","June 2019","Gem S","Jul 2019",5
"So much to see","We didn't have nearly enough time to take in the exhibits at The British Museum. We visited later in the day- just before 4pm.  The Rosetta Stone, Parthenon Sculptures (frieze) and mummies were some of the highlights we enjoyed. I would have enjoyed doing an audio tour or guided…","July 2019","bethanynd","Jul 2019",5
"One of the world's most important art collections","Aside from the famous Elgin Marbles, Rosetta stone and the Greek vases, this museum has a world-class collection of art from countless other cultures and traditions. The crowds can be overwhelming at times so consider coming during off peak times. It can also be overwhelming…","June 2019","Anand P","Jul 2019",5
"Top 3 Museum in World","Loved my FREE visit to the British Museum. If ancient civilizations and antiquities interest you then you will be in heaven here. Greece, Egypt, Middle East, Roman, China, India, etc was well represented. Rosetta Stone, Mummies, Statues of all kinds. I loved this museum that…","June 2019","jimles7","Jul 2019",5
"Different cultures","Great variety and impressing sculptures, etc. Must have enough time to see everything and be able to read and enjoy.","June 2019","Teddy","Jul 2019",5
"Classical Greek Sculptures","This museum is worth a visit just for the Elgin marbles. There is a lot to see here so grab a map and plan your visit. We spent most of our time visiting the Ancient Greece and Rome and European galleries. Check out both the free and special exhibitions.","June 2019","Lori K","Jul 2019",5
"The British Museum never disappoints!","We weren't sure if we would visit the museum this time around, but our 13yo granddaughter spied an advertisement in the tube station for a Manga exhibition and thought that sounded awesome -- so off we went. We couldn't believe we ended up spending over four hours at the museum;…","July 2019","Kim K","Jul 2019",5
"Very quick visit on a busy summer day","Went here on July 1 which was a sweltering hot Saturday. It was very crowded, but the queue to get through bag check was faster than I thought it would be. At least it was in the shade. The museum was packed with people and we sort-of rushed through a lot of it, just hitting the…","July 2019","FrogSqueezer","Jul 2019",4
"Japanese Exhibition Fashion Show also including Cosplay Parade","Lovely place to visit plenty to see. We went for the Japanese Cosplay Parade which was well organised and lovely to watch. One thing brilliant about the Museum is all around they have little folding stools for people to take round with them for a seat. And as I have mobility…","July 2019","Sharon H","Jul 2019",5
"Spectacular Museum","Easily one of the greatest museums in the world.  The British Museum holds some incredible art and artifacts.  Even for those who aren't museum fans (eg. my 10 & 13 year old kids) this museum will delight.  Plus, like all museums in London, its completely free!! So you don't…","June 2019","SenorBlanko","Jul 2019",5
"Great Museum","This is one of the premier museums in the world.  It’s full of all kinds of wonderful pieces of art, etc. that the empire has collected over the years. ;-)  It’s a great place to see collections from all over the world.","June 2019","411glennr","Jul 2019",5
"Impressive for all ages","Went there on Friday evening which meant it was not that busy. Very impressive for our young kids. Didn’t spend a lot of time there but just seeing the mummies from ancient Egypt made it worth it.   Strongly recommended!","July 2019","Andy Z","Jul 2019",5
"Fantastic visit","there are just not enough hours in the day for this attraction. There is just so much to see and all the exhibits are just so interesting. My wife and I are working our way through the museum over several visits and we just love coming here.","June 2019","Nick S","Jul 2019",5
"Sore feet, buzzing brain","There's so much to see that it takes a while to get your bearings (buy a map!) and you simply have to pace yourself. Thank goodness for cafe areas when you can take a break, have a drink/cake and rest before seeing something else. I was particularly delighted to see the Sutton…","July 2019","J C B","Jul 2019",5
"Awesome ","When visiting a museum, it’s good to have sufficient time to spend there.  The British museum is awesome.   The premises is so huge, with various collections- every thing is so well maintained and properly organised.  The only thing I did not like is that the toilets are located…","June 2019","renee6764","Jul 2019",4
"Another great site.","Lots and lots to see. We were lucky to have a private tour guide and she asked what our interests were before we started. We were there over 3 hours and could have gone back again and again.","June 2019","lmgfitness","Jul 2019",5
"The World’s Heritage in a Museum","A great place for friends, families and history fanatics to spend a good time in London. The museum is huge and spans a wide range of monuments and statues, you’d need two to three hours - at least - to roam through the entire place! You can also buy your souvenirs and gifts…","May 2019","Mostafa","Jul 2019",5
"Awesome day out for all the family","I love History and was fascinated to learn more about Ancient Civilizations such as the Sumerians.  We weren't able to see a close up of the Rosetta Stone as the museum was very busy. My son loved the mummies of Ancient Egypt and they looked pretty scary but amazed at how well…","May 2019","Odyssey0768","Jul 2019",4
"Excellent - needed more time; try to avoid crowds by going earlier","We went during the heat wave, it was HOT and crowded.....but totally worth the trip.  I wish we would have had more time - this is honestly a 3-4 hour visit (and we only had 2 1/2 hours....).  It held my kids attention and has wonderful exhibits from around the world; complete…","July 2019","Marbles20","Jul 2019",5
"The one museum to see in London","If you have to visit a museum in London, this is the one. It has everything you can imagine and it's free. Please contribute a voluntary donation as it is worth it.","June 2019","Bruce Gaudreau","Jul 2019",5
"Lots to see, but lots of people as well!","There is a lot of history, definitely go see it during an off-peak time during the week when there will be less people there and you can enjoy the exhibits fully.","June 2019","meganlmnop","Jul 2019",4
"One of the best free museums in London","Very well organized musuem. The rooms are organized by date which makes it very easy to navigate. The post card exhibit was especially great and free of charge. Musem also has nice cafes and extensive shop with anything you may be looking for.","June 2019","Isa U","Jul 2019",4
"Fascinating collection","Our family spent 2-3 hours just looking at the ancient civilizations rooms--we could have easily spent the entire day here.  Arrive early (at opening time) to avoid a wait to get in.","June 2019","Family EB","Jul 2019",5
"""British'' Museum","Amazing Museum, but the only british in there was some coins. The security control at the entrance was poor.","May 2019","Alex Lionis","Jul 2019",4
"First trip to London","I was traveling with my elderly sister. We were able to reserve a wheelchair for her and it was waiting for us when we entered. While the museum was full of children from various schools there was so much to see - it was a grand day. When I return one day I will rent the audio…","June 2019","Margaret B","Jul 2019",5
"British museum","Awesome building with lots of very interesting displays. Really liked the currency room with all kinds of currency from around the world and historic times.","June 2019","Jerry F","Jul 2019",5
"Great place","This was an awesome museum to see however it was unbearably hot inside. There is no air conditioning so prepare to be melting as you walk through the museum. Great place to take kids and the price can’t be beat!  Free!!!!","June 2019","biggie76Toronto","Jul 2019",5
"World Class - and of Major Importance","How can you visit London and not see the Elgin Marbles (while they are still there, and thank you to England for preserving them so long and so well), and the many other wonders of this museum. It won't be possible to see it all, but even a few rooms can change what you know and…","June 2019","ElilouNYC","Jul 2019",5
"Wow, what an amazing place to visit","It might be easy to get lost in this huge museum featuring unbelievable antiquities so make sure you grab a map when you enter.  The rosetta stone was fantastic.  A security officer  gave us the important tip to arrive early and head directly to the mummy exhibit.  It is usually…","May 2019","Mary B","Jul 2019",5
"Great Museum... but","The museum was great, but do not waste your time at the Great Court Restaurant. We went for the afternoon tea (cream and sugar), which we ordered along with 2 pieces of cake. When the waitress forgot about us, she ended up bringing us the wrong order. Then she argued with us…","July 2019","Serenity","Jul 2019",4
"Fabulous!","Of you love ancient Egyptian artifacts, this is the best place togo. It has several more than the Louvre in Paris","June 2019","Heidi K","Jul 2019",5
"Very engaging ","Open 10:00-17:30. Arrived here at 10:40 am on a Saturday. There was about a 10 minute queue before going through security. Free museum but suggested donation. Spent about two hours here seeing the Egypt exhibits and the Parthenon galleries. Could spend all day here but these are…","June 2019","WImom","Jul 2019",5
"See things you can see nowhere else!","Do some history reading. Understand why The British Museum has this amazing collection. And then go! Pick up a black/white donation only) or color (2 pounds) guide and plan to walk. Worth it! Spend hours. ","July 2019","Audrey Q","Jul 2019",5
"Excellent Egyptian exhibits","Nice collection of items that Britain has collected from around the World. There is a Rosetta stone replica that is hands-on (and the original there for viewing). Was  crowded but navigable. Wish we had more time to explore it.","June 2019","RenaissanceMan","Jul 2019",4
"Lots and lots of exhibits","A wonderful building housing some of the worlds most interesting exhibits.  There is such to see, that you really need to view over several visits in order to really take it all in.  ","June 2019","MPF333","Jul 2019",4
"Free entrance - amazing","I'm not very found of visiting museums, but my family is, so... Living in Paris it's nice to discover a museum like this , for free.","June 2019","Akroken","Jul 2019",3
"Amazing collection!","We wish we’d had more time at the British Museum—one of the few free activities in London. We did pay for the Manga exhibit which was well worth it!","July 2019","@anne_e","Jul 2019",5
"GOOD","“The hotel has a very modern decor and beds very comfy, location is city centre. I like how you didn't have to pay extra for preferring a twin beds as some hotels charge more. I asked for extra pillows and a room that face the back so was nice and quiet. Didn't get a chance to…","July 2019","Candy Showe","Jul 2019",5
"FREE & MUST SEE even if controversial","First, it’s free. Second, this is the greatest vault of stolen (controversial, right) historical artifacts in the world! Third, the Rosetta Stone.  Stolen or not, one thing is for sure - that the British Museum is absolutely preserving and taking care of everything they have. …","July 2019","Diseree D","Jul 2019",5
"Crazy busy ","Crowded and extremely warm is all I can say! Still worth the visit but be prepared with water, light clothing,.... you’ve been warned!!","July 2019","Bela B","Jul 2019",5
"Excellent","It is hard to believe that this museum is free! They ask for a donation for a map, but you can pull it up online if you need one and don't want to pay. The major attractions are the Rosetta Stone and the Elgin Marbles, but the entire museum is amazing. The displays themselves…","June 2019","Stefanie H","Jul 2019",5
"Excellent collection of anthropology and antiquities","Went with  a tour group. I had a guide. If you're interested in Anthropology, ancient civilizations and antiquities this museum would be for you. I wish I had more time. The only drawback I have to say about this museum is that it was very crowded.This is a free museum. It has a…","July 2019","artyalex","Jul 2019",5
"Pick and choose the bits you want to see - avoid busy times!","I visited here alone - not far from the hotel I was staying in. Security was swift - unless you had bags of course! You can buy substantial guides if you plan to stay a while or pick up paper ones as you go into the main area. There is a quicker route to follow if you are short…","June 2019","welshbird34","Jul 2019",5
"Fabulous Munch exhibition","Attended this exhibition after a long absence from the BM and love what they've done to it since I last went. There were long queues for the bag security but as I had booked a ticket to the exhibition online I could whizz past these via the vip queue and straight into the main…","May 2019","kittycritter","Jul 2019",5
"Tremendous Musuem","There is more history per square inch in this museum than any place in the world. The Egyptian and african exhibits were superb.","June 2019","Gregory J","Jul 2019",5
"I like it free admission","It’s free but definitely worth to visit.  I also enjoy having afternoon tea at the cafeteria.  The British are very good at displaying their exhibits.  Just the similar piece of rock, they might look very different in other museum.","August 2018","sillybabyfish","Jul 2019",5
"Excellent","Excellent museum if you're in for history and knowledge. Great collections and staff very friendly, highly recommmended!!","July 2019","Waldo E","Jul 2019",4
"Very interesting place to visit.","We learned so much about the Asian history and the Egyptian mommy’s and what the British took  from the world colonies while they were ruling their countries.Sad but amazing.","June 2019","druberu","Jul 2019",5
"Must visit! ","Amazing place to visit, a-lot of things to see and explore, you cant miss it once you’re in London. its a free entry  ","July 2019","Abdulla A","Jul 2019",5
"This Place Kills, in A Good Way","Oh my god, this place is just too much.  We figured that a day for the museum would be good.  It was a poor assumption as there is so much to see.  In particular we were almost overwhelmed by the exhibits in the Egypt, Middle East and Greece areas.  You go from the central…","October 2018","david n","Jul 2019",5
"british museum is one of the Nice places to visit in London","we visited this place with family. really nice , there are so many exhibits. we spent most of the day here.","June 2019","Krish V","Jul 2019",5
"The Edvard Munch exhibition","Brilliant exhibition (very big fan) - great original works of art and very informative. Did get abit crowded towards the end, also the exhibition shop was abit expensive but didnt stop me from buying afew things :)   ","May 2019","emma C","Jul 2019",5
"Amazing exhibits, but very crowded","The Rosetta Stone, mummies, displays celebrating world cultures--this museum really is amazing.  The only downside was the absolutely packed crowds that made navigating the rooms a bit difficult.  Hit the lower levels early if the tour buses and school groups haven't arrived;…","June 2019","gingerb714","Jul 2019",4
"Excellent","Free entry and nowhere better to spend a couple of hours.  You cant see it all in one go.  Early morning entry is best.","March 2019","D S","Jul 2019",5
"Guards with bag search to enter but fast no long wait","I had a coffee & saw the lower parts of British Museum where the design style you can call Nordic style with white and lights and views for large areas so no crowded feels even with many visitors. Egypt past times is a you many know one of the interesting subjects on display,…","May 2019","SiriCrimeBusinessMgz","Jul 2019",3
"No reason not to visit","This is a wonderful, large museum with LOTS of things to see. Even though a donation is optional, it is free. There are a lot of different exhibits and you could easily spend an entire day here.","June 2019","Sandra","Jul 2019",5
"Must see Museum.","Fascinating place.  Lots of exhibits to see.  Just concentrate on a couple at a time.  Definitely worth a return visit.","June 2019","Colette O","Jul 2019",5
"definitely worth it","this is a huge place so you need to go more than once, and it is definitely worth several visits. Lots to see with plenty of choice to suit any taste","June 2019","lauraaO3922QA","Jul 2019",5
"Amazing and interesting","Visited this on a birthday treat trip to London and could have spent all day here as there is so much to see and take in. Also a great gift store and cafe. This is a must for school and college parties. I found the Egyptian section particularly fascinating.","May 2019","Jan A","Jul 2019",5
"Informative","Great experience with family. It was fun filled and very informative. It took us a whole day to see everything.","May 2019","amit b","Jul 2019",4
"Wonderful","So interesting. So much to see, we went back 3 times, just so we could really spend time with the exhibits. Wonderful.","September 2018","georgina h","Jul 2019",5
"Excellent - so much to see","Excellent  - a great diversity of exhibitions. Everything from ancient artifacts to more modern art. Could easily spend over 2 days in there.","July 2019","Swemfa","Jul 2019",5
"Spend a day","Great place, can't believe the amount of artefacts that are on display here, you need to spend the whole day and even then you will not see everything. Tip, start at the top floor and work down, not so many people there when it first opens.","June 2019","Chris S","Jul 2019",4
"So much to look at","If you are spending a lot of time in London this is worth a visit as there is so much to look and it is a interesting building. If you’re only in London for a few days it wouldn’t be at the top of the list ","July 2019","Stephieriin","Jul 2019",4
"Edvard munch","A fantastic exhibition  Wonderful prints , woodcuts and some paintings The British museum is a stunning building too  Busy in general and munch exhibition is busy but I managed to steer my wheelchair around with problems  Go and see it  Loved it","July 2019","retiredbadger2016","Jul 2019",5
"amazing museum","its a great experience to visit this historical place. its a very big place. u need to spend at least 1 full day.","June 2019","Ashraful Amin Robin","Jul 2019",4
"So very interesting...","My wife and I spent many enjoyable hours in this great museum. The staff are helpful and its designed for ease of viewing and taking in the wonderful exhibits.... Well worth a visit when in the great city of London....<U+0001F440> Allow yourself a few hours to see most of it...Enjoy<U+0001F44D> ","September 2018","Allan Lewis R","Jul 2019",4
"HUGE","There is so much amazing stuff for art and history lovers here, my one day visit just wasn't enough, I did see the mummies and they were super interesting, need to go back with more time","June 2019","Stacey Ellery","Jul 2019",5
"Edvard Munch exhibition","Gives a great understanding of the life and work of Edvard Munch. Allow about one and a half hours to see this. Get a slot when it's not too busy. A must see, the pictures are mainly on loan from the Munch museum in Oslo. Very well thought out, information about each item well…","June 2019","Barbara C","Jul 2019",5
"Take a tour into your history","We did the bible tour here and loved the depth of information given. Also the fact that you were directed around the museum meant less time wasted in areas of less interest. Souvenir shops in the great court had a good range of products. Hardest thing to find - a rubbish bin!!!…","June 2019","zevonae","Jul 2019",5
"amazing museum","We spent two days in The British Museum, felt still not enough. The only down site is the food, it could be better, provide more varieties quick food.","May 2019","yanping Z","Jul 2019",5
"Huge collections","Plan to spend time here because it will be crowded. The Egyptian collections are outstanding...more mummies than I have ever seen in one place.","May 2019","ckocour2014","Jul 2019",5
"One of the best museums in the world.","Fantastic space full of art, specially interesting areas are egypt, Persia and Greece.  Worth coming in.","June 2019","Nefertiti","Jul 2019",5
"Don't Miss When Sightseeing in London!","The British Museum is one of the finest museums in the world...don't miss it! We visited many years ago and went back this year with our daughter.  We all enjoyed it immensely! There is so much to see from different historic eras and is utterly amazing what has been collected.…","May 2019","SW G","Jul 2019",5
"Depressing temple to imperial looting","Too much stolen stuff to be wholly comfortable. It's like visiting a Berlin Art Gallery in 1943. Give the Parthenon Marbles back, you thieves!","June 2019","Ubergeekian","Jul 2019",3
"Amazing Museum!","This was an amazing museum that you could literally spend multiple days in.  I had a great time seeing the amazing collections!","June 2019","fjmtz","Jul 2019",5
"Beautiful","A beautiful museum with so much to look at! My best recommendation is to go in the off period though. The museum got very very crowded and not all of the rooms have fans so it was a little uncomfortable for a summer visit.  The Rosetta Stone is a must see, as well as the mummies.","June 2019","Dominiquecollucci","Jul 2019",5
"Awesome collection of historical artifacts","It all starts at the entrance where you encounter THE Rosetta Stone and extends around the globe and throughout history.  A full day won't be enough time but anything less would just be such a miss.  Oh BTW, while admission is free, I recommend a minimum of a 20£ donation.","May 2019","OBSAustinTX","Jul 2019",5
"wonderful place","I visit the museum, and I'm very exiting because is a very large variety of culture, many object in over the world...","June 2019","SML19","Jul 2019",5
"Massive","From the outside you wouldn't think it is as large as it really is. There are great rooms and large halls full of fantastic historical artifacts. Little let down by the lack of Ancient Roman peices, most of it is related to the Romans occupancy if Britain ,which is fair.","June 2019","SamA","Jul 2019",4
"Special exhibition","The BM is such a vast and varied institution that it needs to be taken in piece by piece. This time it was a special exhibition of Edward Munch. The overall experience was very positive. Explaining the various techniques used by EM made it a novelty, not a mere presentation of…","July 2019","Joel K","Jul 2019",4
